Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count
10805,18898.0,39.4,55464.0,31488.0,1836.0
10901,23195.0,42.7,86215.0,44503.0,1368.0
10910,24.0,-666666666.0,-666666666.0,,0.0
10911,0.0,-666666666.0,-666666666.0,-666666666.0,0.0
10913,5657.0,41.5,124766.0,45272.0,117.0
10914,421.0,30.0,131250.0,35107.0,0.0
10915,168.0,46.8,-666666666.0,17877.0,35.0
10916,4374.0,42.2,103750.0,37016.0,164.0
10917,1959.0,45.2,95344.0,43597.0,135.0
10918,11700.0,40.7,84323.0,35801.0,670.0
10919,1647.0,44.7,97742.0,34758.0,80.0
10920,8682.0,42.4,92193.0,41243.0,651.0
10921,4138.0,44.3,75667.0,33751.0,143.0
10922,1406.0,41.7,89375.0,38884.0,95.0
10923,8705.0,39.4,89420.0,32614.0,866.0
10924,13153.0,42.0,86359.0,37553.0,566.0
10925,4300.0,43.1,70927.0,39170.0,365.0
10926,3256.0,36.6,65742.0,32650.0,161.0
10927,12060.0,32.8,56714.0,26077.0,1847.0
10928,4029.0,40.4,70278.0,35315.0,289.0
10930,8938.0,39.9,128500.0,41346.0,474.0
10931,908.0,43.6,78333.0,34269.0,92.0
10932,33.0,22.4,-666666666.0,10782.0,0.0
10933,797.0,30.3,91830.0,25990.0,55.0
10940,48512.0,36.7,58803.0,26855.0,7066.0
10941,13572.0,39.2,68367.0,29450.0,822.0
10950,48838.0,23.9,72371.0,24847.0,13905.0
10952,41619.0,20.5,54032.0,18076.0,15039.0
10953,123.0,55.4,122788.0,53862.0,0.0
10954,23678.0,44.2,90781.0,40698.0,1165.0
10956,31090.0,44.5,118181.0,47887.0,1482.0
10958,2929.0,42.9,106211.0,32481.0,209.0
